
# =====================================
# FECHA: 27/05/2026 13:49 PM
# =====================================
24.6 48.4 776.5 1.0 1216.0
24.7 48.4 776.47 1.0 1219.0
24.7 48.5 776.48 1.0 680.0
24.7 48.6 776.45 1.0 597.0
24.7 48.7 776.47 1.0 671.0
24.7 48.7 776.49 1.0 701.0
24.7 48.8 776.51 1.0 734.0
24.7 48.8 776.5 1.0 784.0
24.7 48.6 776.46 1.0 839.0
24.7 48.7 776.51 1.0 914.0
24.7 48.7 776.51 1.0 1013.0
24.7 48.7 776.48 1.0 1085.0
24.7 48.7 776.49 1.0 1095.0
24.7 48.4 776.52 1.0 1145.0
24.7 48.4 776.44 1.0 1216.0
24.7 48.0 776.48 1.0 1270.0
24.7 48.1 776.49 1.0 1312.0
24.7 48.1 776.45 1.0 1305.0
24.7 48.1 776.49 1.0 1349.0
24.7 48.3 776.52 1.0 1337.0
24.7 48.3 776.5 1.0 1350.0
24.7 48.3 776.52 1.0 1349.0
24.7 48.4 776.53 1.0 1362.0
24.7 48.5 776.53 1.0 1360.0
24.7 48.7 776.51 1.0 1366.0
24.6 48.6 776.52 1.0 1351.0
24.6 48.3 776.5 1.0 1354.0
24.7 48.5 776.52 1.0 1424.0
24.7 48.8 776.5 1.0 1361.0
24.7 49.1 776.5 1.0 1361.0
24.6 49.2 776.52 1.0 1350.0
24.7 49.0 776.47 1.0 1351.0
24.7 49.1 776.49 1.0 1361.0
24.7 49.0 776.47 1.0 1356.0
24.7 48.7 776.5 1.0 1354.0
24.7 48.9 776.48 1.0 1343.0
24.7 48.9 776.5 1.0 1351.0
24.7 48.6 776.46 1.0 1350.0
24.7 48.7 776.48 1.0 1333.0
24.7 48.6 776.49 1.0 1339.0
24.7 48.6 776.47 1.0 1325.0
24.7 48.4 776.53 1.0 1323.0
24.7 48.4 776.52 1.0 1314.0
24.7 48.5 776.46 1.0 1342.0
24.8 48.5 776.46 1.0 1321.0
24.8 48.5 776.48 1.0 1334.0
24.8 48.6 776.45 1.0 1327.0
24.8 48.6 776.45 1.0 1315.0
24.8 48.6 776.43 1.0 1315.0
24.8 48.7 776.49 1.0 1330.0
24.8 48.8 776.49 1.0 1326.0
24.8 48.7 776.49 1.0 1331.0
24.8 48.7 776.48 1.0 1328.0
24.8 48.7 776.47 1.0 1337.0
24.8 48.7 776.51 1.0 1331.0
24.8 48.8 776.46 1.0 1330.0
24.8 48.5 776.49 1.0 1337.0
24.9 48.5 776.51 1.0 1331.0
24.9 48.5 776.48 1.0 1335.0
24.9 48.5 776.51 1.0 1340.0

# =====================================
# FECHA: 27/05/2026 13:55 PM
# =====================================
24.8 48.4 776.48 1.0 1330.0
24.9 48.5 776.48 1.0 1340.0
24.9 48.4 776.47 1.0 1337.0
24.8 48.4 776.47 1.0 1325.0
24.9 48.3 776.5 1.0 1338.0
24.9 48.4 776.48 1.0 1334.0
24.9 48.4 776.51 1.0 1328.0
24.9 48.2 776.51 1.0 1337.0
24.9 47.7 776.49 1.0 1338.0
24.9 47.3 776.53 1.0 1332.0
24.9 47.0 776.46 1.0 1339.0
24.9 47.0 776.52 1.0 1343.0
24.9 47.1 776.49 1.0 1333.0
24.9 47.1 776.49 1.0 1343.0
24.9 47.1 776.5 1.0 1328.0
24.9 47.4 776.49 1.0 1328.0
24.9 47.7 776.45 1.0 1332.0
24.9 47.5 776.51 1.0 1335.0
24.9 47.1 776.47 1.0 1332.0
24.9 46.6 776.46 1.0 1331.0
24.8 46.6 776.45 1.0 1335.0
24.8 46.7 776.47 1.0 1337.0
24.8 46.7 776.48 1.0 1342.0
24.8 46.7 776.45 1.0 1333.0
24.8 46.6 776.48 1.0 1344.0
24.8 46.6 776.54 1.0 1334.0
24.8 46.7 776.49 1.0 1328.0
24.8 46.7 776.51 1.0 1334.0
24.8 46.7 776.52 1.0 1324.0
24.8 46.9 776.48 1.0 1335.0
24.8 47.0 776.49 1.0 1335.0
24.8 47.0 776.46 1.0 1329.0
24.8 47.0 776.51 1.0 1343.0
24.8 46.9 776.48 1.0 1345.0
24.8 46.8 776.44 1.0 1329.0
24.8 46.9 776.48 1.0 1333.0
24.8 46.8 776.45 1.0 1337.0
24.8 46.9 776.45 1.0 1342.0
24.8 46.9 776.48 1.0 1356.0
24.8 46.9 776.44 1.0 1335.0
24.8 46.9 776.45 1.0 1337.0
24.8 47.0 776.48 1.0 1340.0
24.8 47.2 776.45 1.0 1360.0
24.8 47.4 776.46 1.0 1329.0
24.8 47.4 776.48 1.0 1335.0
24.8 47.3 776.52 1.0 1327.0
24.8 47.3 776.48 1.0 1340.0
24.8 47.4 776.51 1.0 1347.0
24.8 47.4 776.45 1.0 1346.0
24.8 47.4 776.44 1.0 1341.0
24.7 47.4 776.46 1.0 1338.0
24.8 47.5 776.47 1.0 1357.0
24.8 47.5 776.43 1.0 1349.0
24.8 47.5 776.46 1.0 1342.0
24.8 47.6 776.47 1.0 1353.0
24.7 47.5 776.5 1.0 1369.0
24.7 47.5 776.47 1.0 1350.0
24.7 47.5 776.47 1.0 1345.0
24.8 47.6 776.46 1.0 1341.0
24.7 47.5 776.5 1.0 1363.0

# =====================================
# FECHA: 27/05/2026 14:00 PM
# =====================================
24.7 47.6 776.55 1.0 1330.0
24.7 47.6 776.54 1.0 1223.0
